"No.","Time","Source","Destination","Protocol","Length","Info"
"59","5.182047","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4031, FN=0, Flags=........C, BI=100, SSID=Coherer"
"60","5.183030","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Acknowledgement, Flags=........C"
"61","5.200040","Apple_82:36:3a","Broadcast","802.11","77","Probe Request, SN=2, FN=0, Flags=........C, SSID=Coherer"
"62","5.202040","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4032, FN=0, Flags=........C, BI=100, SSID=Coherer"
"63","5.203028","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Acknowledgement, Flags=........C"
"64","5.223044","Apple_82:36:3a","Broadcast","802.11","77","Probe Request, SN=3, FN=0, Flags=........C, SSID=Coherer"
"65","5.225029","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4033, FN=0, Flags=........C, BI=100, SSID=Coherer"
"66","5.243032","Apple_82:36:3a","Broadcast","802.11","77","Probe Request, SN=4, FN=0, Flags=........C, SSID=Coherer"
"67","5.308057","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4036, FN=0, Flags=........C, BI=100, SSID=Coherer"
"68","5.310011","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4036, FN=0, Flags=....R...C, BI=100, SSID=Coherer"
"69","5.312013","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4036, FN=0, Flags=....R...C, BI=100, SSID=Coherer"
"70","5.314005","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4036, FN=0, Flags=....R...C, BI=100, SSID=Coherer"
"71","5.317019","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4036, FN=0, Flags=....R...C, BI=100, SSID=Coherer"
"72","5.323026","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4036, FN=0, Flags=....R...C, BI=100, SSID=Coherer"
"73","5.333012","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4037, FN=0, Flags=........C, BI=100, SSID=Coherer"
"74","5.334005","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","162","Probe Response, SN=4036, FN=0, Flags=....R...C, BI=100, SSID=Coherer"
"75","5.428191","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4038, FN=0, Flags=........C, BI=100, SSID=Coherer"
"76","5.530996","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4039, FN=0, Flags=........C, BI=100, SSID=Coherer"
"77","5.632985","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4040, FN=0, Flags=........C, BI=100, SSID=Coherer"
"78","5.643955","Apple_82:36:3a","Cisco-Li_82:b2:55","802.11","58","Authentication, SN=23, FN=0, Flags=........C"
"79","5.644038","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"80","5.644958","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","66","Authentication, SN=4041, FN=0, Flags=........C"
"81","5.645039","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Acknowledgement, Flags=........C"
"82","5.645953","Apple_82:36:3a","Cisco-Li_82:b2:55","802.11","103","Association Request, SN=24, FN=0, Flags=........C, SSID=Coherer"
"83","5.646955","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"84","5.647953","Cisco-Li_82:b2:55","Apple_82:36:3a","802.11","82","Association Response, SN=4042, FN=0, Flags=........C"
"85","5.647962","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Acknowledgement, Flags=........C"
"86","5.648961","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Clear-to-send, Flags=........C"
"87","5.649953","Cisco-Li_82:b2:55","Apple_82:36:3a","EAPOL","181","Key (Message 1 of 4)"
"88","5.649964","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Acknowledgement, Flags=........C"
"89","5.650959","Apple_82:36:3a","Cisco-Li_82:b2:55","EAPOL","181","Key (Message 2 of 4)"
"90","5.650970","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"91","5.654947","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Clear-to-send, Flags=........C"
"92","5.655957","Cisco-Li_82:b2:55","Apple_82:36:3a","EAPOL","239","Key (Message 3 of 4)"
"93","5.655968","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Acknowledgement, Flags=........C"
"94","5.655973","Apple_82:36:3a","Cisco-Li_82:b2:55","EAPOL","159","Key (Message 4 of 4)"
"95","5.656951","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"96","5.734961","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4045, FN=0, Flags=........C, BI=100, SSID=Coherer"
"97","5.837942","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4046, FN=0, Flags=........C, BI=100, SSID=Coherer"
"98","5.842998","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"99","5.844024","Apple_82:36:3a","Broadcast","802.11","404","Data, SN=27, FN=0, Flags=.p.....TC"
"100","5.844051","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"101","5.845998","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Clear-to-send, Flags=........C"
"102","5.846994","Cisco-Li_82:b2:53","Apple_82:36:3a","802.11","652","Data, SN=4047, FN=0, Flags=.p....F.C"
"103","5.848122","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Acknowledgement, Flags=........C"
"104","5.875944","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"105","5.876920","Apple_82:36:3a","IPv6mcast_ff:82:36:3a","802.11","148","Data, SN=28, FN=0, Flags=.p.....TC"
"106","5.876930","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
